Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1654348205.133052,43705,0,1
2,Payment,1654348205.176841,33206,0,1
2,Payment,1654348205.210083,16658,0,1
4,Delivery,1654348205.226783,50523,0,1
2,Payment,1654348205.277329,7787,0,1
2,Payment,1654348205.285138,8310,0,1
1,NewOrder,1654348205.293467,16809,0,1
1,NewOrder,1654348205.310296,16849,0,1
1,NewOrder,1654348205.327175,8192,0,1
1,NewOrder,1654348205.335384,8396,0,1
2,Payment,1654348205.343799,8337,0,1
2,Payment,1654348205.352156,8346,0,1
1,NewOrder,1654348205.360536,16637,0,1
5,StockLevel,1654348205.377193,3011,0,1
1,NewOrder,1654348205.380224,30608,0,1
1,NewOrder,1654348205.410864,16736,0,1
2,Payment,1654348205.427628,8248,0,1
1,NewOrder,1654348205.435904,16662,0,1
1,NewOrder,1654348205.452597,8369,0,1
1,NewOrder,1654348205.460988,16932,0,1
2,Payment,1654348205.477940,8300,0,1
5,StockLevel,1654348205.486260,1767,0,1
2,Payment,1654348205.488053,6517,0,1
2,Payment,1654348205.494589,8312,0,1
1,NewOrder,1654348205.502920,8431,0,1
2,Payment,1654348205.511371,16631,0,1
2,Payment,1654348205.528023,8789,0,1
1,NewOrder,1654348205.536833,16357,0,1
4,Delivery,1654348205.553209,16644,0,1
2,Payment,1654348205.569884,8398,0,1
2,Payment,1654348205.578311,8351,0,1
1,NewOrder,1654348205.586691,16720,0,1
2,Payment,1654348205.603448,8308,0,1
2,Payment,1654348205.611787,8164,0,1
1,NewOrder,1654348205.619979,16881,0,1
4,Delivery,1654348205.636888,33469,0,1
1,NewOrder,1654348205.670378,8186,0,1
2,Payment,1654348205.678586,8447,0,1
2,Payment,1654348205.687048,8287,0,1
2,Payment,1654348205.695350,8397,0,1
2,Payment,1654348205.703766,8718,0,1
1,NewOrder,1654348205.712503,16545,0,1
2,Payment,1654348205.729080,8121,0,1
1,NewOrder,1654348205.737257,16587,0,1
1,NewOrder,1654348205.753883,16786,0,1
5,StockLevel,1654348205.770701,2406,0,1
2,Payment,1654348205.773128,5786,0,1
2,Payment,1654348205.778935,8364,0,1
1,NewOrder,1654348205.787330,8392,0,1
2,Payment,1654348205.795743,78172,0,1
2,Payment,1654348205.873946,22064,0,1
1,NewOrder,1654348205.896043,33450,0,1
2,Payment,1654348205.929532,8152,0,1
2,Payment,1654348205.937716,8294,0,1
1,NewOrder,1654348205.946036,25089,0,1
1,NewOrder,1654348205.971156,33451,0,1
2,Payment,1654348206.004640,29829,0,1
1,NewOrder,1654348206.034505,28467,0,1
2,Payment,1654348206.062992,8229,0,1
1,NewOrder,1654348206.071241,8386,0,1
2,Payment,1654348206.079648,8261,0,1
2,Payment,1654348206.087930,8367,0,1
2,Payment,1654348206.096319,8390,0,1
3,OrderStatus,1654348206.104730,2382,0,1
1,NewOrder,1654348206.107142,31002,0,1
1,NewOrder,1654348206.138167,16925,0,1
2,Payment,1654348206.155114,7999,0,1
4,Delivery,1654348206.163131,16883,0,1
2,Payment,1654348206.180046,8266,0,1
1,NewOrder,1654348206.188343,16643,0,1
4,Delivery,1654348206.205015,25085,0,1
1,NewOrder,1654348206.230121,33361,0,1
2,Payment,1654348206.263503,8353,0,1
1,NewOrder,1654348206.271894,25216,0,1
1,NewOrder,1654348206.297135,16780,0,1
2,Payment,1654348206.313933,8233,0,1
2,Payment,1654348206.322192,8420,0,1
2,Payment,1654348206.330640,8290,0,1
1,NewOrder,1654348206.338964,16595,0,1
1,NewOrder,1654348206.355625,50046,0,1
2,Payment,1654348206.405700,8108,0,1
1,NewOrder,1654348206.413830,8429,0,1
2,Payment,1654348206.422287,8388,0,1
1,NewOrder,1654348206.430701,16748,0,1
4,Delivery,1654348206.447476,33416,0,1
5,StockLevel,1654348206.480926,3119,0,1
5,StockLevel,1654348206.484074,2372,0,1
2,Payment,1654348206.486468,11000,0,1
1,NewOrder,1654348206.497495,25047,0,1
2,Payment,1654348206.522573,8267,0,1
1,NewOrder,1654348206.530865,16787,0,1
1,NewOrder,1654348206.547685,24965,0,1
5,StockLevel,1654348206.572689,2482,0,1
1,NewOrder,1654348206.575200,26545,0,1
4,Delivery,1654348206.601766,29330,0,1
1,NewOrder,1654348206.631117,33571,0,1
1,NewOrder,1654348206.664711,8187,0,1
3,OrderStatus,1654348206.672916,1481,0,1
1,NewOrder,1654348206.674415,6807,0,1
1,NewOrder,1654348206.681236,8409,0,1
2,Payment,1654348206.689659,8468,0,1
2,Payment,1654348206.698153,8303,0,1
1,NewOrder,1654348206.706483,16747,0,1
2,Payment,1654348206.723258,8313,0,1
3,OrderStatus,1654348206.731600,2925,0,1
3,OrderStatus,1654348206.734561,3331,0,1
2,Payment,1654348206.737925,10447,0,1
1,NewOrder,1654348206.748410,41573,0,1
1,NewOrder,1654348206.790019,16614,0,1
2,Payment,1654348206.806656,38051,0,1
1,NewOrder,1654348206.844745,36933,0,1
3,OrderStatus,1654348206.881709,1682,0,1
2,Payment,1654348206.883411,31601,0,1
