Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,78,78.000,1900,8262,8403,12894,16667,25003,33187,41836,41836
1,85,85.000,1740,8160,8334,11658,16611,16858,33130,50184,50184
2,71,71.000,1304,8303,8384,14089,16698,32965,33478,63994,63994
3,76,76.000,1174,8226,8392,13160,16684,25131,33919,50251,50251
4,65,65.000,1675,8253,8381,15812,16699,33477,50254,92508,92508
5,26,26.000,2534,8391,17365,37124,35097,94802,200972,220828,220828
6,56,56.000,1002,8375,8867,18098,17127,33907,40343,186094,186094
7,67,67.000,1427,8373,8583,14793,17054,25345,33713,142798,142798
8,57,57.000,2942,8455,8850,17538,17189,33458,64931,119179,119179
9,69,69.000,1414,8294,8509,14407,17161,33444,33680,54960,54960
10,84,84.000,702,8235,8424,11917,16809,23679,25050,42802,42802
11,74,74.000,1229,8320,8895,13616,16883,25324,33465,47295,47295
12,58,58.000,920,8327,8497,17530,16868,34090,44581,185791,185791
13,72,72.000,1466,8294,8629,13482,16831,24632,33535,53830,53830
14,77,77.000,1292,8303,8478,12987,16898,25095,33333,39184,39184
15,66,66.000,1140,8331,15752,15135,16980,33262,40184,50669,50669
16,71,71.000,1063,8327,8468,14042,16814,30208,33683,41794,41794
17,73,73.000,1004,8290,8493,13983,16753,33328,40245,49979,49979
18,70,70.000,1309,8338,16615,14010,16879,25045,25353,41816,41816
19,72,72.000,1215,8285,8409,13963,16845,25729,33487,41762,41762
20,71,71.000,706,8295,8975,13918,16813,19392,42152,50188,50188
21,72,72.000,830,8301,16267,13981,16806,25230,33488,41895,41895
22,70,70.000,1205,8286,16585,14225,16791,25155,33404,41961,41961
23,80,80.000,1166,8205,8392,12450,16841,25053,25761,33515,33515
24,74,74.000,1208,8326,8604,13460,16762,25110,33433,33482,33482
25,72,72.000,706,8264,8534,14035,16788,33414,33496,50303,50303
26,81,81.000,933,8266,8401,12602,16713,24945,33388,50709,50709
27,59,59.000,868,8338,8637,16433,16902,33347,33573,109973,109973
28,75,75.000,903,8288,8428,13588,16757,25141,33509,55657,55657
29,75,75.000,883,8284,8441,13036,16722,25115,33371,41297,41297
30,64,64.000,606,8297,8805,15664,16729,29924,33711,122553,122553
31,65,65.000,1572,8310,16322,15316,16879,33223,33528,54273,54273
32,66,66.000,7717,8357,16655,15207,16862,24997,33396,42147,42147
33,67,67.000,1410,8183,8365,14996,16812,26105,33506,123198,123198
34,62,62.000,1503,8356,16084,15963,16742,33314,33569,75357,75357
35,71,71.000,1269,8279,8415,14002,16760,29622,33580,42630,42630
36,77,77.000,1127,8210,8737,13351,16756,25052,33493,66805,66805
37,62,62.000,1356,8280,16571,15897,16892,30947,41639,91864,91864
38,63,63.000,687,8329,8483,15660,16749,29572,35280,123266,123266
39,78,78.000,742,8267,8506,12767,16729,24901,33516,41684,41684
40,73,73.000,1100,8287,8418,13709,16757,25110,33422,77280,77280
41,79,79.000,660,8296,8381,12695,16725,24900,33411,58829,58829
42,74,74.000,1256,8288,8396,13439,16821,28625,33423,38252,38252
43,70,70.000,791,8260,16595,14547,16802,33475,34081,42097,42097
44,67,67.000,1216,8327,16600,14608,16756,33388,33412,33552,33552
45,68,68.000,826,8336,8436,14846,16746,27183,33598,57893,57893
46,60,60.000,973,8304,16622,16978,16764,33454,41778,100162,100162
47,71,71.000,630,8221,8412,13825,16759,30493,33586,41686,41686
48,52,52.000,1257,8320,16658,19000,16771,33498,34830,157451,157451
49,76,76.000,825,8256,8443,13396,16764,25307,33351,41926,41926
50,68,68.000,1302,8311,15095,14477,16780,25089,33343,50449,50449
51,76,76.000,698,8302,8438,13078,16715,25034,33427,38060,38060
52,68,68.000,754,8293,15054,14734,17395,25488,33304,44462,44462
53,67,67.000,747,8271,16495,15077,16783,32620,33567,43450,43450
54,69,69.000,1014,8303,8448,14418,16866,25854,33988,41786,41786
55,67,67.000,974,8237,8383,14819,16757,25703,38858,71994,71994
56,76,76.000,776,8278,8381,13184,16778,25202,33391,50064,50064
57,75,75.000,763,8226,8359,13250,16761,25171,38000,50019,50019
58,67,67.000,1155,8301,8471,14941,16765,33340,33457,66694,66694
59,78,78.000,826,8283,8412,12621,16662,23195,33438,42003,42003
