Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.000,17.211,6.059,8.480,16.661,16.829,25.234,33.805,58.484,148.284,0.058
5,29.600,19.207,7.688,16.537,16.682,16.827,33.399,36.250,83.645,100.113,0.052
10,32.400,16.930,2.961,8.470,16.657,16.761,25.205,33.778,66.783,66.937,0.059
15,33.200,18.500,2.387,8.900,16.643,16.792,33.380,43.887,83.519,97.352,0.054
20,30.800,18.984,7.329,15.573,16.684,16.800,33.410,43.740,58.575,141.819,0.053
25,33.000,16.848,6.379,14.408,16.663,16.765,24.843,30.734,58.457,100.041,0.059
30,26.000,20.308,4.366,16.581,16.705,16.848,40.203,42.810,67.704,74.308,0.049
35,33.600,18.243,7.710,15.505,16.666,16.773,31.543,41.556,73.660,75.218,0.055
40,31.000,19.186,3.545,16.480,16.681,16.767,33.461,41.870,83.341,108.415,0.052
45,32.800,18.744,7.697,16.564,16.688,16.803,33.231,41.419,58.522,83.321,0.053
50,29.600,19.295,4.620,8.387,16.667,16.806,33.850,55.168,91.866,97.601,0.052
55,32.000,18.085,6.980,15.704,16.678,16.752,24.952,38.461,108.364,114.096,0.055
