Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.400,96.501,90.585,90.585,102.417,102.417,102.417,102.417,102.417,102.417,0.010
5,0.600,80.459,59.063,59.063,61.561,120.752,120.752,120.752,120.752,120.752,0.012
10,1.400,91.513,65.720,67.199,90.133,116.159,117.408,117.408,117.408,117.408,0.011
15,0.400,99.285,98.726,98.726,99.844,99.844,99.844,99.844,99.844,99.844,0.010
20,0.400,65.289,59.468,59.468,71.110,71.110,71.110,71.110,71.110,71.110,0.015
25,0.400,58.839,58.802,58.802,58.875,58.875,58.875,58.875,58.875,58.875,0.017
30,0.600,84.568,50.491,50.491,58.913,144.301,144.301,144.301,144.301,144.301,0.012
35,0.200,100.375,100.375,100.375,100.375,100.375,100.375,100.375,100.375,100.375,0.010
40,0.400,84.712,75.459,75.459,93.964,93.964,93.964,93.964,93.964,93.964,0.012
45,1.000,82.906,54.370,67.748,91.897,92.163,108.350,108.350,108.350,108.350,0.012
50,0.600,280.658,58.606,58.606,259.050,524.319,524.319,524.319,524.319,524.319,0.004
55,0.400,110.494,51.091,51.091,169.897,169.897,169.897,169.897,169.897,169.897,0.009
