Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.200,9.920,5.211,8.247,8.310,8.370,10.017,25.047,41.604,41.718,0.101
5,26.600,11.210,6.001,8.244,8.305,8.372,25.115,33.364,38.711,50.004,0.089
10,32.400,11.428,5.735,8.245,8.331,8.396,9.177,25.109,55.191,215.828,0.088
15,27.200,10.883,5.271,8.257,8.315,8.407,13.660,33.268,50.209,58.314,0.092
20,28.800,10.204,5.134,8.236,8.314,8.376,11.945,25.129,38.780,49.992,0.098
25,28.200,10.406,5.630,8.222,8.310,8.409,13.390,33.383,41.855,56.560,0.096
30,27.800,12.598,6.409,8.239,8.308,8.398,25.295,33.588,101.302,132.206,0.079
35,27.800,11.022,5.472,8.221,8.294,8.375,15.967,33.442,62.691,80.849,0.091
40,26.000,11.244,5.583,8.208,8.320,8.423,30.093,33.373,33.566,34.618,0.089
45,24.000,11.937,5.984,8.239,8.319,8.385,23.568,33.510,74.959,82.570,0.084
50,25.400,14.474,5.338,8.253,8.321,8.421,33.519,50.104,84.353,118.169,0.069
55,23.600,14.979,5.541,8.251,8.311,8.589,33.379,58.492,85.114,125.259,0.067
