Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,2.135,1.083,1.362,1.970,2.770,3.734,3.734,3.734,3.734,0.468
5,3.000,1.232,0.664,0.833,1.291,1.531,1.582,2.081,2.081,2.081,0.811
10,2.800,1.223,0.682,0.976,1.243,1.440,1.723,1.736,1.736,1.736,0.818
15,2.800,1.242,0.546,0.847,1.340,1.649,1.713,1.866,1.866,1.866,0.805
20,2.800,1.057,0.540,0.681,0.812,1.255,1.724,2.311,2.311,2.311,0.946
25,3.800,1.030,0.497,0.673,1.107,1.333,1.488,1.529,1.529,1.529,0.971
30,1.200,1.218,0.711,0.975,1.292,1.389,1.719,1.719,1.719,1.719,0.821
35,3.600,0.972,0.491,0.611,0.944,1.276,1.469,1.605,1.605,1.605,1.028
40,1.600,0.996,0.602,0.829,0.928,1.248,1.712,1.712,1.712,1.712,1.004
45,1.800,1.152,0.623,0.806,1.258,1.418,1.889,1.889,1.889,1.889,0.868
50,2.800,1.009,0.700,0.782,1.004,1.204,1.377,1.421,1.421,1.421,0.991
55,1.800,0.926,0.622,0.640,0.813,1.177,1.538,1.538,1.538,1.538,1.080
