Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,2.276,1.230,1.665,2.500,2.910,3.158,3.188,3.188,3.188,0.439
5,2.400,2.484,1.340,2.123,2.669,2.990,3.074,3.077,3.077,3.077,0.403
10,2.000,2.306,1.230,1.954,2.440,2.625,3.286,3.286,3.286,3.286,0.434
15,1.800,2.755,1.994,2.265,2.579,3.139,4.164,4.164,4.164,4.164,0.363
20,2.000,2.473,1.324,1.921,2.426,2.901,4.144,4.144,4.144,4.144,0.404
25,2.600,2.586,1.303,1.740,2.707,3.266,3.617,4.246,4.246,4.246,0.387
30,2.200,2.391,1.514,2.006,2.497,2.705,2.788,3.271,3.271,3.271,0.418
35,3.000,2.284,1.431,1.626,2.341,2.720,2.936,3.779,3.779,3.779,0.438
40,2.600,2.053,1.215,1.707,2.050,2.644,2.736,2.749,2.749,2.749,0.487
45,2.600,1.907,1.218,1.531,1.779,2.111,2.790,2.961,2.961,2.961,0.524
50,2.200,2.120,1.219,1.359,1.874,2.545,2.855,4.515,4.515,4.515,0.472
55,2.400,1.587,1.161,1.311,1.478,1.824,2.221,2.520,2.520,2.520,0.630
