Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,65.000,15.375,1.225,8.288,8.402,16.750,33.331,33.524,66.581,224.921,0.065
5,69.600,14.430,0.579,8.227,8.377,16.701,26.711,43.966,82.519,126.455,0.069
10,67.200,14.788,0.880,8.293,8.428,16.756,25.208,39.544,58.435,83.334,0.068
15,63.800,15.682,0.737,8.285,8.399,16.711,33.453,50.043,66.837,180.915,0.064
20,58.400,17.107,0.555,8.373,9.006,17.176,29.000,42.195,119.269,280.761,0.058
25,72.800,13.712,0.494,8.290,8.446,16.983,25.322,33.600,57.464,99.086,0.073
30,67.800,14.741,0.573,8.305,8.461,16.883,25.611,33.836,58.473,201.238,0.068
35,64.600,15.443,0.678,8.291,8.417,16.873,31.085,33.542,116.785,169.566,0.065
40,63.000,15.872,0.491,8.289,8.417,16.781,27.910,33.704,101.557,277.292,0.063
45,59.400,16.797,0.782,8.309,12.893,16.836,33.397,42.189,100.758,249.638,0.060
50,59.600,16.754,0.594,8.295,8.463,16.791,33.321,41.731,98.666,316.852,0.060
55,52.600,18.901,1.017,8.300,15.378,17.004,33.556,41.893,198.190,255.427,0.053
