Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.200,9.687,0.323,0.575,6.546,9.186,17.664,33.353,57.498,220.694,0.103
5,32.600,5.789,0.231,0.485,0.819,7.738,15.787,29.770,41.262,48.605,0.173
10,40.000,4.585,0.199,0.441,0.713,7.668,15.001,16.489,36.734,41.430,0.218
15,41.600,3.963,0.218,0.440,0.661,1.025,11.038,16.085,46.255,87.617,0.252
20,50.800,3.026,0.210,0.396,0.583,0.855,9.850,14.693,30.461,77.518,0.330
25,62.800,2.297,0.199,0.353,0.528,0.753,7.775,12.921,32.596,58.434,0.435
30,52.000,2.279,0.218,0.366,0.559,0.798,7.815,12.756,18.498,49.753,0.439
35,52.800,2.248,0.199,0.339,0.526,0.732,7.285,11.274,23.286,126.966,0.445
40,67.800,1.877,0.203,0.358,0.539,0.719,6.735,9.746,16.569,58.413,0.533
45,75.800,2.115,0.198,0.304,0.470,0.679,6.612,12.858,31.602,82.755,0.473
50,71.400,1.490,0.198,0.327,0.486,0.687,0.891,7.761,16.701,51.695,0.671
55,78.000,1.351,0.211,0.320,0.483,0.642,0.905,8.010,16.487,31.585,0.740
