Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,DeleteRecord,1654428021.335614,10166,0,1
3,ScanRecord,1654428021.345840,1022,0,1
4,UpdateRecord,1654428021.346876,872,0,1
1,ReadRecord,1654428021.347763,600,0,1
1,ReadRecord,1654428021.348372,549,0,1
6,ReadModifyWriteRecord,1654428021.348930,5315,0,1
4,UpdateRecord,1654428021.354256,8229,0,1
6,ReadModifyWriteRecord,1654428021.362496,8447,0,1
5,DeleteRecord,1654428021.370960,8352,0,1
4,UpdateRecord,1654428021.379359,8306,0,1
1,ReadRecord,1654428021.387695,1355,0,1
1,ReadRecord,1654428021.389087,1327,0,1
1,ReadRecord,1654428021.390454,1342,0,1
4,UpdateRecord,1654428021.391822,12541,0,1
5,DeleteRecord,1654428021.404391,8245,0,1
1,ReadRecord,1654428021.412668,1150,0,1
1,ReadRecord,1654428021.413848,1331,0,1
2,InsertRecord,1654428021.415208,5727,0,1
1,ReadRecord,1654428021.420960,1071,0,1
4,UpdateRecord,1654428021.422090,7287,0,1
3,ScanRecord,1654428021.429436,1892,0,1
1,ReadRecord,1654428021.431376,1356,0,1
3,ScanRecord,1654428021.432761,3113,0,1
1,ReadRecord,1654428021.435931,1215,0,1
1,ReadRecord,1654428021.437178,1111,0,1
1,ReadRecord,1654428021.438319,1036,0,1
4,UpdateRecord,1654428021.439383,6551,0,1
1,ReadRecord,1654428021.445956,1046,0,1
4,UpdateRecord,1654428021.447029,7300,0,1
1,ReadRecord,1654428021.454352,991,0,1
1,ReadRecord,1654428021.455367,891,0,1
1,ReadRecord,1654428021.456280,756,0,1
3,ScanRecord,1654428021.457058,12347,0,1
5,DeleteRecord,1654428021.469441,9905,0,1
3,ScanRecord,1654428021.479370,10539,0,1
1,ReadRecord,1654428021.489934,634,0,1
2,InsertRecord,1654428021.490584,5376,0,1
1,ReadRecord,1654428021.495993,759,0,1
3,ScanRecord,1654428021.496772,5062,0,1
6,ReadModifyWriteRecord,1654428021.501859,1293,0,1
3,ScanRecord,1654428021.503172,639,0,1
1,ReadRecord,1654428021.503832,569,0,1
4,UpdateRecord,1654428021.504423,486,0,1
4,UpdateRecord,1654428021.504944,7784,0,1
1,ReadRecord,1654428021.512743,446,0,1
6,ReadModifyWriteRecord,1654428021.513201,7714,0,1
3,ScanRecord,1654428021.520929,561,0,1
1,ReadRecord,1654428021.521501,336,0,1
1,ReadRecord,1654428021.521846,328,0,1
2,InsertRecord,1654428021.522182,7039,0,1
5,DeleteRecord,1654428021.529232,8498,0,1
1,ReadRecord,1654428021.537749,801,0,1
1,ReadRecord,1654428021.538573,492,0,1
1,ReadRecord,1654428021.539080,310,0,1
6,ReadModifyWriteRecord,1654428021.539402,6628,0,1
6,ReadModifyWriteRecord,1654428021.546040,726,0,1
2,InsertRecord,1654428021.546778,7633,0,1
4,UpdateRecord,1654428021.554423,8388,0,1
3,ScanRecord,1654428021.562826,651,0,1
3,ScanRecord,1654428021.563491,2677,0,1
1,ReadRecord,1654428021.566182,422,0,1
1,ReadRecord,1654428021.566620,458,0,1
3,ScanRecord,1654428021.567097,3770,0,1
3,ScanRecord,1654428021.570885,1245,0,1
4,UpdateRecord,1654428021.572160,7243,0,1
3,ScanRecord,1654428021.579421,1618,0,1
1,ReadRecord,1654428021.581054,536,0,1
1,ReadRecord,1654428021.581610,470,0,1
6,ReadModifyWriteRecord,1654428021.582096,23872,0,1
3,ScanRecord,1654428021.606011,6076,0,1
1,ReadRecord,1654428021.612114,871,0,1
5,DeleteRecord,1654428021.613012,24833,0,1
1,ReadRecord,1654428021.637883,1333,0,1
1,ReadRecord,1654428021.639257,922,0,1
6,ReadModifyWriteRecord,1654428021.640216,5859,0,1
5,DeleteRecord,1654428021.646102,8337,0,1
3,ScanRecord,1654428021.654494,1135,0,1
3,ScanRecord,1654428021.655655,4411,0,1
1,ReadRecord,1654428021.660102,956,0,1
4,UpdateRecord,1654428021.661084,10081,0,1
1,ReadRecord,1654428021.671200,924,0,1
1,ReadRecord,1654428021.672155,896,0,1
1,ReadRecord,1654428021.673076,785,0,1
1,ReadRecord,1654428021.673881,810,0,1
5,DeleteRecord,1654428021.674717,4718,0,1
3,ScanRecord,1654428021.679459,844,0,1
6,ReadModifyWriteRecord,1654428021.680337,7510,0,1
1,ReadRecord,1654428021.687873,842,0,1
2,InsertRecord,1654428021.688745,8422,0,1
3,ScanRecord,1654428021.697189,1838,0,1
1,ReadRecord,1654428021.699056,715,0,1
1,ReadRecord,1654428021.699791,638,0,1
1,ReadRecord,1654428021.700455,689,0,1
1,ReadRecord,1654428021.701164,632,0,1
5,DeleteRecord,1654428021.701822,11054,0,1
1,ReadRecord,1654428021.712901,875,0,1
1,ReadRecord,1654428021.713819,682,0,1
6,ReadModifyWriteRecord,1654428021.714531,6616,0,1
