Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,62.800,1.174,0.178,0.457,0.673,1.178,2.537,4.086,6.076,12.347,0.852
5,74.400,0.902,0.164,0.375,0.521,1.099,2.166,2.716,4.395,6.330,1.108
10,70.000,0.937,0.140,0.398,0.557,1.118,2.264,3.239,4.580,5.833,1.067
15,77.000,0.664,0.126,0.285,0.410,0.669,1.576,2.210,3.444,4.477,1.507
20,92.400,0.661,0.153,0.346,0.443,0.646,1.334,2.190,3.468,4.730,1.512
25,96.800,0.706,0.134,0.301,0.450,0.785,1.496,2.212,3.969,5.323,1.416
30,96.400,0.685,0.155,0.298,0.421,0.700,1.622,2.293,3.452,4.466,1.459
35,130.400,0.497,0.127,0.240,0.353,0.502,0.932,1.352,3.302,5.067,2.011
40,132.200,0.545,0.127,0.248,0.375,0.544,1.110,1.596,3.054,4.164,1.835
45,117.800,0.541,0.131,0.249,0.373,0.516,1.054,1.682,3.410,7.151,1.847
50,141.800,0.512,0.127,0.239,0.374,0.514,0.948,1.577,2.812,4.541,1.954
55,127.600,0.475,0.126,0.237,0.378,0.502,0.891,1.302,2.420,3.796,2.104
