Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,42.000,5.116,0.226,0.600,4.432,7.546,8.439,11.780,46.304,50.023,0.195
5,40.600,3.963,0.194,0.435,0.585,6.690,8.404,10.993,38.529,64.891,0.252
10,47.000,3.892,0.187,0.416,0.553,5.548,8.258,10.806,65.589,66.349,0.257
15,45.000,2.070,0.188,0.293,0.427,0.528,7.086,8.572,24.806,39.994,0.483
20,62.200,2.880,0.193,0.336,0.478,0.671,8.240,11.257,33.541,76.731,0.347
25,69.800,2.378,0.181,0.296,0.458,0.629,7.602,9.778,32.639,67.324,0.420
30,61.200,2.684,0.193,0.323,0.457,0.615,7.541,9.152,47.278,104.689,0.373
35,90.400,1.539,0.159,0.255,0.378,0.511,5.110,7.985,22.005,49.046,0.650
40,90.000,1.406,0.154,0.262,0.422,0.536,4.525,7.874,22.418,34.108,0.711
45,90.600,1.167,0.166,0.272,0.392,0.500,0.739,7.606,10.842,31.659,0.857
50,88.000,1.953,0.158,0.258,0.374,0.510,3.822,6.953,31.810,238.948,0.512
55,77.200,1.410,0.156,0.290,0.446,0.534,0.798,6.534,29.170,72.906,0.709
