Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,295,295.000,227,670,904,3379,6425,8306,8447,24833,50023
1,362,362.000,190,349,543,2753,1780,7645,8387,33414,70819
2,375,375.000,190,462,622,2647,1664,7771,8385,32551,48206
3,487,487.000,160,360,521,2140,806,7057,8316,32003,64055
4,476,476.000,175,284,474,2164,798,7441,8337,22548,82510
5,438,438.000,165,240,417,2140,847,7422,8310,32186,58459
6,363,363.000,173,380,513,2687,857,7342,8435,64891,73190
7,469,469.000,159,376,490,2136,689,6246,8354,48124,79845
8,588,588.000,164,353,444,1678,656,6128,8067,15689,66847
9,511,511.000,155,341,441,1950,669,7111,8324,14647,64099
10,598,598.000,130,303,455,1664,687,5499,7736,12243,57711
11,506,506.000,162,333,447,1968,715,6989,8279,14307,65917
12,494,494.000,150,324,453,2017,677,6028,8285,23612,114553
13,448,448.000,157,383,489,2223,768,6749,8279,31920,66349
14,273,273.000,153,347,457,3658,753,6407,11166,90680,104346
15,724,724.000,148,263,344,1390,496,4297,7635,19813,48911
16,736,736.000,123,188,315,1334,497,4853,7640,11627,42800
17,230,230.000,174,260,361,5034,550,5075,8187,186454,336735
18,213,213.000,189,323,399,4025,584,4035,7921,105016,358215
19,680,680.000,135,287,384,1454,552,4927,7703,21458,43056
20,717,717.000,134,269,391,1370,554,4193,7789,11508,40777
21,502,502.000,147,302,402,1986,537,3768,7139,22026,304775
22,590,590.000,157,305,392,1690,609,5810,8289,26937,66734
23,660,660.000,161,315,395,1510,546,2772,7162,29801,76731
24,524,524.000,179,317,386,1905,524,1044,8117,32973,209159
25,819,819.000,142,230,357,1237,503,3151,7306,10888,46001
26,759,759.000,125,278,377,1292,506,3454,7602,11937,50081
27,462,462.000,147,332,438,2160,653,6200,8403,24981,234675
28,570,570.000,176,368,467,1793,647,4210,7725,22921,127111
29,790,790.000,149,221,355,1240,496,3005,7415,16290,34081
30,605,605.000,149,220,390,1620,565,4399,8300,22615,104689
31,693,693.000,161,306,390,1438,575,3472,7686,14930,65832
32,611,611.000,141,357,424,1714,602,4454,7541,28529,72891
33,679,679.000,140,250,330,1571,460,1826,7545,16853,220872
34,548,548.000,158,243,361,1617,508,4037,7600,31085,151745
35,1025,1025.000,139,243,341,958,464,764,6243,10729,48986
36,952,952.000,146,205,295,1046,415,896,6176,11687,43009
37,1101,1101.000,122,181,269,909,390,671,5690,10716,49046
38,682,682.000,162,295,383,1451,534,4565,7342,25886,46865
39,717,717.000,133,245,350,1400,463,842,7985,28700,66050
40,663,663.000,148,330,419,1490,557,3514,7586,28308,72569
41,879,879.000,123,207,309,1134,449,774,6612,13055,64063
42,916,916.000,132,199,307,1085,450,937,6716,11804,40470
43,884,884.000,125,214,346,1129,464,1188,6961,13242,45263
44,915,915.000,131,235,348,1087,449,855,6291,11412,62029
45,905,905.000,132,217,330,1097,447,781,7104,17016,49726
46,857,857.000,129,284,362,1167,495,817,6490,21468,32709
47,907,907.000,125,202,339,1107,439,791,6833,11472,49543
48,824,824.000,145,280,370,1190,504,871,6844,11233,97899
49,826,826.000,142,205,312,1206,435,1005,6145,20780,61646
50,833,833.000,139,257,361,1195,456,918,7043,16005,39383
51,1066,1066.000,147,199,295,934,425,693,5257,11118,40538
52,905,905.000,138,217,352,1099,474,1041,6847,11537,32957
53,886,886.000,124,233,355,1126,462,968,6670,20848,48483
54,802,802.000,149,226,304,1238,440,679,4219,17189,238948
55,911,911.000,150,301,374,1092,472,784,6346,11079,36578
56,646,646.000,125,238,349,1544,470,880,6289,42729,83733
57,918,918.000,123,186,342,1085,458,824,6687,11993,57285
58,816,816.000,135,224,369,1241,494,823,7250,24061,55105
59,827,827.000,126,248,390,1180,534,1230,6753,11909,33436
