Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,36.400,5.454,0.154,0.462,3.946,7.570,8.447,15.229,47.885,83.242,0.183
5,45.400,4.878,0.125,0.238,0.475,7.449,9.207,15.865,61.905,103.386,0.205
10,50.400,2.294,0.125,0.225,0.352,0.748,7.442,8.282,28.145,41.651,0.436
15,54.200,3.169,0.119,0.283,0.371,0.667,8.280,10.909,50.576,76.171,0.316
20,57.200,2.601,0.124,0.273,0.344,0.607,7.232,8.556,53.810,156.132,0.385
25,65.000,2.353,0.120,0.224,0.347,0.488,6.653,8.346,35.823,167.201,0.425
30,54.000,2.136,0.120,0.281,0.343,0.522,6.444,8.337,47.928,57.450,0.468
35,68.600,2.062,0.121,0.248,0.341,0.504,6.006,8.430,36.098,112.433,0.485
40,75.800,1.334,0.122,0.239,0.313,0.386,0.691,6.968,29.100,73.010,0.750
45,77.600,1.249,0.119,0.282,0.338,0.435,4.210,7.491,16.915,30.617,0.801
50,75.000,1.302,0.120,0.252,0.326,0.410,0.647,6.239,31.169,74.735,0.768
55,86.600,0.854,0.118,0.205,0.299,0.383,0.509,0.726,9.257,75.316,1.172
