Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,364.600,2.732,0.148,0.324,0.559,1.179,7.720,8.478,33.818,83.242,0.366
5,476.000,2.094,0.125,0.210,0.351,0.642,7.191,8.315,30.521,103.386,0.477
10,516.800,1.964,0.120,0.243,0.365,0.574,5.854,7.838,32.046,182.544,0.509
15,531.800,1.838,0.116,0.273,0.375,0.602,6.256,8.153,27.431,176.000,0.544
20,577.200,1.726,0.121,0.282,0.364,0.557,4.728,7.572,23.227,167.748,0.580
25,638.200,1.564,0.118,0.263,0.356,0.546,3.962,7.711,26.437,167.201,0.639
30,554.400,1.796,0.117,0.281,0.372,0.547,3.436,7.408,30.138,266.354,0.557
35,692.200,1.440,0.116,0.257,0.358,0.515,1.301,6.931,25.596,207.715,0.695
40,757.000,1.314,0.120,0.275,0.344,0.487,1.157,6.803,16.540,123.221,0.761
45,721.400,1.391,0.116,0.288,0.355,0.512,1.153,7.023,18.299,166.329,0.719
50,789.800,1.251,0.118,0.275,0.355,0.501,1.142,6.596,13.342,82.592,0.799
55,809.400,1.229,0.115,0.241,0.321,0.464,0.868,6.072,14.907,274.704,0.814
