Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,9.782,3.121,6.577,7.662,8.352,13.529,24.974,66.367,66.367,0.102
5,16.600,11.033,3.648,6.390,7.642,8.369,11.602,37.133,96.208,96.208,0.091
10,25.400,11.352,3.651,6.622,7.537,8.452,23.799,37.976,70.119,99.710,0.088
15,29.000,11.865,3.304,5.936,7.680,9.161,27.883,38.749,75.168,136.247,0.084
20,32.800,12.439,3.544,6.372,7.735,10.147,28.455,33.626,108.653,154.844,0.080
25,32.200,13.136,3.474,5.850,7.182,8.334,27.855,37.619,95.365,302.032,0.076
30,37.200,12.360,3.473,5.734,7.480,9.038,24.421,39.671,146.859,274.858,0.081
35,41.200,11.085,3.067,5.426,7.434,10.106,24.356,33.336,75.242,116.390,0.090
40,45.600,11.513,3.013,5.935,7.481,9.664,31.478,35.368,81.246,99.464,0.087
45,38.600,10.360,3.298,6.181,7.646,9.081,23.893,32.376,61.038,70.711,0.097
50,42.000,11.684,3.101,5.982,7.228,9.904,32.027,40.208,63.039,95.009,0.086
55,31.600,17.862,3.232,6.143,8.249,17.966,38.350,66.526,117.376,276.432,0.056
