Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,171.600,0.481,0.152,0.317,0.467,0.585,0.695,0.795,1.164,3.985,2.078
5,192.200,0.441,0.136,0.247,0.372,0.474,0.570,0.622,0.720,60.931,2.268
10,237.800,0.359,0.127,0.224,0.342,0.471,0.566,0.613,0.747,1.755,2.788
15,288.400,0.318,0.117,0.190,0.291,0.427,0.518,0.573,0.711,1.828,3.142
20,309.200,0.323,0.114,0.199,0.311,0.414,0.505,0.554,0.687,4.970,3.095
25,336.600,0.310,0.122,0.191,0.290,0.399,0.498,0.552,0.753,1.435,3.223
30,374.800,0.285,0.117,0.184,0.250,0.350,0.468,0.529,0.657,1.862,3.509
35,386.400,0.286,0.123,0.175,0.246,0.366,0.471,0.542,0.643,1.698,3.492
40,416.600,0.299,0.112,0.180,0.264,0.372,0.476,0.533,0.705,5.969,3.348
45,390.800,0.293,0.122,0.180,0.257,0.368,0.475,0.538,0.681,7.733,3.417
50,414.600,0.311,0.121,0.197,0.304,0.388,0.488,0.537,0.645,2.288,3.214
55,305.000,0.337,0.123,0.274,0.326,0.408,0.491,0.533,0.632,1.056,2.966
